dedup,empate,ventana_r2,filas_29jul,emision_parcial,corte,objetivo,zona_muerta,n,dias,modelo_pct,modelo_lo,modelo_hi,base_pct,base_lo,base_hi,ventaja_pp,ventaja_lo,ventaja_hi,p_dia,b,c,p_exacto,p_chi2,mae,mae_lo,mae_hi,mae_cero,mae_cero_lo,mae_cero_hi,dmae,dmae_lo,dmae_hi,dmae_bloque_lo,dmae_bloque_hi,n_cobertura,cobertura_pct,cobertura_lo,cobertura_hi,cobertura_dia_lo,cobertura_dia_hi
first,estricta,dentro,fuera,fuera,vivo,gap,0.25,173,26,68.78612716763006,61.53649717895545,75.21958956307138,54.91329479768786,47.47215770194779,62.14097267673615,13.872832369942197,-4.495016822192597,33.540470948973976,0.19320169957510622,61,37,0.019690184799847767,0.020160312058240745,2.774435260115607,2.0491840374440375,3.714348993396954,3.2500549132947976,2.292952344827586,4.613579653457909,-0.47561965317919086,-1.1861560052053388,0.18314721063012546,-1.2385731502890174,-0.1301016473988439,173,90.7514450867052,85.5055007958445,94.22693352147526,81.17563025210085,97.6470588235294
first,estricta,dentro,fuera,fuera,vivo,retorno_sesion,0.0,226,29,64.60176991150442,58.170653322730544,70.54479268019813,53.53982300884956,47.03257023069361,59.928750012440624,11.061946902654867,-6.956521739130435,30.08849557522124,0.2871782054486378,71,46,0.026075562235663593,0.026500280602491873,3.3724592920353986,2.7178894579646014,4.187396124864088,3.7174345132743367,2.821470603657581,4.846184610910878,-0.34497522123893803,-0.8261526215415018,0.08679736453201953,-0.926098738938053,-0.004754800884955859,0,,,,,
first,estricta,dentro,fuera,fuera,vivo,retorno_sesion,0.25,173,26,70.52023121387283,63.33962285596313,76.80933343148155,54.91329479768786,47.47215770194779,62.14097267673615,15.606936416184972,-4.3962115232833465,35.83815028901734,0.16895776055986003,62,35,0.007959455422446967,0.008293048632162224,3.773154335260116,2.981197822520639,4.713825266002415,4.227110404624277,3.1510962257702513,5.554542924559654,-0.4539560693641617,-1.0579313235294117,0.1145225554087531,-1.2807853468208092,0.007662138728323638,0,,,,,
first,estricta,fuera,dentro,dentro,publicado,gap,0.0,194,28,60.824742268041234,53.809330794947506,67.4197888498207,60.30927835051546,53.28865308240661,66.92955610308692,0.5154639175257731,-17.98968253968254,19.37212843252484,1.0,51,50,0.9999999999999954,1.0,2.8841417525773196,1.9863099002364761,4.200998250566794,2.929635567010309,2.121854914205156,4.043751165869197,-0.04549381443298969,-0.6025527363374318,0.49054696114261137,-0.5232037886597938,0.2728208505154639,194,91.75257731958763,87.02391404626958,94.85983315497924,83.58190929410915,97.91666666666666
first,estricta,fuera,dentro,dentro,publicado,gap,0.25,149,25,63.758389261744966,55.783961131962556,71.0412211951043,59.73154362416108,51.707903313693215,67.26600613715897,4.026845637583893,-16.438581470800287,25.333333333333336,0.754811297175706,46,40,0.5900356111485767,0.5897737906589077,3.1787771812080536,2.021175093480345,4.922690219288792,3.2505852348993285,2.2059638643822392,4.714448836427657,-0.07180805369127514,-0.7797246611384112,0.6086776249248647,-0.682868288590604,0.28335382550335564,149,89.26174496644295,83.26848812989442,93.28142241319878,78.37837837837837,97.24137931034483
first,estricta,fuera,dentro,dentro,publicado,retorno_sesion,0.0,194,28,57.21649484536083,50.180680116586295,63.97206631325918,59.27835051546392,52.24961482669885,65.94677344024534,-2.0618556701030926,-22.011816331385972,18.44697535474234,0.8820294926268433,47,51,0.7620362195292818,0.76185498621871,3.673610309278351,2.629372950961705,5.100816407911755,3.671143298969072,2.659254384238234,4.949928149826428,0.002467010309278379,-0.4641548363095238,0.46427992204496016,-0.3643909793814432,0.2549018041237114,0,,,,,
first,estricta,fuera,dentro,dentro,publicado,retorno_sesion,0.25,149,25,61.74496644295302,53.739121471172304,69.1604244177872,60.40268456375839,52.38348624970076,67.89896868052051,1.342281879194631,-22.15735196274118,25.949487873224463,0.9595101224693826,43,41,0.9132023622246345,0.9131160800723744,4.1327046979865765,2.880643211451247,5.945911038528726,4.1284187919463085,2.925923172770701,5.674563402453136,0.004285906040268533,-0.608389679917398,0.6102123404255314,-0.4652871140939597,0.22655701342281867,0,,,,,
first,estricta,fuera,dentro,dentro,vivo,gap,0.0,202,29,60.396039603960396,53.51799880204192,66.88605402610366,59.9009900990099,53.01843657922386,66.41399468567671,0.49504950495049505,-16.751269035532996,17.647058823529413,1.0,51,50,0.9999999999999954,1.0,2.830321782178218,1.9585140281115725,4.137723413568257,2.8706970297029706,2.090115783694188,3.9513578179723488,-0.04037524752475248,-0.5679152234636872,0.4723615241978608,-0.4914050247524752,0.2741952475247522,202,92.07920792079207,87.52194189758099,95.06589097824646,83.79881802193255,97.95944266031285
first,estricta,fuera,dentro,dentro,vivo,gap,0.25,156,26,63.46153846153846,55.665942621949284,70.61009383935108,59.61538461538461,51.77419034868799,66.9944071236694,3.8461538461538463,-15.862068965517242,24.675725509058836,0.7618095476130967,46,40,0.5900356111485767,0.5897737906589077,3.11243141025641,2.0015358667442276,4.752044010805177,3.1781967948717944,2.1752127863822324,4.5409179885312945,-0.06576538461538459,-0.7544808523489933,0.5893531519851835,-0.6488757051282051,0.2724483974358972,156,89.74358974358974,83.98912623851183,93.58774331389878,79.59147743604484,97.40301633850021
first,estricta,fuera,dentro,dentro,vivo,retorno_sesion,0.0,202,29,57.42574257425743,50.5310021835156,64.04332126515982,58.91089108910891,52.021398930558234,65.46778920785228,-1.4851485148514851,-21.182266009852217,18.44697535474234,0.9317670582354411,48,51,0.8408215252256516,0.840692660305486,3.609353465346535,2.609050816666667,5.016669120668787,3.57940099009901,2.5971253333333326,4.814342325529542,0.029952475247524778,-0.4203310919540231,0.48359039637936385,-0.3384936633663366,0.2550014356435643,0,,,,,
