id,fecha,par,spread_20d_pct,z_score,explicacion,spread_simple_pct,z_simple
21,2026-07-13,Micron vs Samsung Electronics,1.05,0.06,Micron le saca 1.1 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.1).,9.99,0.36
22,2026-07-13,TSMC (Taiwán) vs UMC (ADR),-14.57,-1.06,UMC (ADR) le saca 14.6 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.1).,-2.48,-0.17
23,2026-07-13,ASML (ADR) vs Tokyo Electron,-3.64,-0.46,Tokyo Electron le saca 3.6 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.5).,-5.32,-0.46
24,2026-07-13,BHP Group vs Freeport-McMoRan,2.54,0.33,BHP Group le saca 2.5 pp de rendimiento propio 20d a Freeport-McMoRan (limpiado de índice local y moneda) — inusual vs su historia (z=+0.3).,2.81,0.4
25,2026-07-14,SK Hynix vs Micron,23.02,1.84,SK Hynix le saca 23.0 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.8).,-14.67,-1.41
26,2026-07-14,SK Hynix vs Samsung Electronics,11.77,1.08,SK Hynix le saca 11.8 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+1.1).,3.7,-0.09
27,2026-07-14,Micron vs Samsung Electronics,-11.25,-0.75,Samsung Electronics le saca 11.2 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=-0.7).,18.37,0.95
28,2026-07-14,TSMC (Taiwán) vs UMC (ADR),-13.2,-0.89,UMC (ADR) le saca 13.2 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.9).,-13.3,-0.97
29,2026-07-14,ASML (ADR) vs Tokyo Electron,-14.37,-1.57,Tokyo Electron le saca 14.4 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.6).,-0.7,0.02
30,2026-07-14,BHP Group vs Freeport-McMoRan,2.72,0.35,BHP Group le saca 2.7 pp de rendimiento propio 20d a Freeport-McMoRan (limpiado de índice local y moneda) — inusual vs su historia (z=+0.4).,2.87,0.41
31,2026-07-15,SK Hynix vs Micron,21.97,1.53,SK Hynix le saca 22.0 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.5).,-2.76,-0.27
32,2026-07-15,SK Hynix vs Samsung Electronics,10.25,0.94,SK Hynix le saca 10.3 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.9).,1.95,-0.23
