fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-24,8035.T,6,0.64,-2.7060188673558576,-1.73,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,IFX.DE,7,0.09,-2.7060188673558576,-0.23,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-25,000660.KS,0,0.96,1.4374542095371579,1.38,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,005930.KS,1,0.72,1.4374542095371579,1.04,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,2330.TW,2,0.37,1.4374542095371579,0.53,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,3436.T,3,0.78,1.4374542095371579,1.12,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,4063.T,4,0.35,1.4374542095371579,0.5,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,6857.T,5,0.65,1.4374542095371579,0.93,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,8035.T,6,0.63,1.4374542095371579,0.91,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-25,IFX.DE,7,0.11,1.4374542095371579,0.15,368,1.4375,1.437454,4.579e-05,2,2,0
2026-08-26,000660.KS,0,0.95,0.19943984888946786,0.19,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,005930.KS,1,0.71,0.19943984888946786,0.14,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,2330.TW,2,0.37,0.19943984888946786,0.07,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,3436.T,3,0.77,0.19943984888946786,0.15,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,4063.T,4,0.34,0.19943984888946786,0.07,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,6857.T,5,0.64,0.19943984888946786,0.13,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,8035.T,6,0.63,0.19943984888946786,0.13,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-26,IFX.DE,7,0.11,0.19943984888946786,0.02,51,0.199219,0.19944,0.0002211,0,0,0
2026-08-27,000660.KS,0,0.94,2.332277551020408,2.2,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,005930.KS,1,0.71,2.332277551020408,1.65,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,2330.TW,2,0.37,2.332277551020408,0.85,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,3436.T,3,0.77,2.332277551020408,1.8,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,4063.T,4,0.34,2.332277551020408,0.8,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,6857.T,5,0.65,2.332277551020408,1.51,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,8035.T,6,0.63,2.332277551020408,1.47,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-27,IFX.DE,7,0.1,2.332277551020408,0.23,597,2.332031,2.332278,0.0002463,2,2,0
2026-08-28,000660.KS,0,0.92,-3.464566381528618,-3.19,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,005930.KS,1,0.69,-3.464566381528618,-2.38,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,2330.TW,2,0.36,-3.464566381528618,-1.24,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,3436.T,3,0.75,-3.464566381528618,-2.59,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,4063.T,4,0.33,-3.464566381528618,-1.14,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,6857.T,5,0.61,-3.464566381528618,-2.13,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,8035.T,6,0.61,-3.464566381528618,-2.12,-887,-3.464844,-3.464566,0.00027737,1,1,0
2026-08-28,IFX.DE,7,0.09,-3.464566381528618,-0.32,-887,-3.464844,-3.464566,0.00027737,1,1,0
