fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-17,IFX.DE,7,0.09,1.6377154649186696,0.15,162,0.632812,0.63347,0.00065713,2,2,0
2026-08-18,000660.KS,0,1.01,-4.982765830346476,-5.02,-1804,-7.046875,-7.042498,0.00437725,1,1,0
2026-08-18,005930.KS,1,0.77,-4.982765830346476,-3.82,-1460,-5.703125,-5.700755,0.00236979,1,1,0
2026-08-18,2330.TW,2,0.38,-4.982765830346476,-1.91,-925,-3.613281,-3.611598,0.00168346,1,1,0
2026-08-18,3436.T,3,0.78,-4.982765830346476,-3.89,-1398,-5.460938,-5.458825,0.00211212,1,1,0
2026-08-18,4063.T,4,0.34,-4.982765830346476,-1.7,-799,-3.121094,-3.12053,0.00056407,1,1,0
2026-08-18,6857.T,5,0.67,-4.982765830346476,-3.34,-1183,-4.621094,-4.618964,0.00213009,1,1,0
2026-08-18,8035.T,6,0.64,-4.982765830346476,-3.21,-1107,-4.324219,-4.323602,0.00061681,1,1,0
2026-08-18,IFX.DE,7,0.09,-4.982765830346476,-0.45,-353,-1.378906,-1.376191,0.00271555,1,1,0
2026-08-19,000660.KS,0,0.75,-2.1193442319270135,-1.59,-45,-0.175781,-0.1742,0.00158084,0,0,0
2026-08-19,005930.KS,1,0.53,-2.1193442319270135,-1.11,104,0.40625,0.409463,0.00321343,0,0,0
2026-08-19,2330.TW,2,0.31,-2.1193442319270135,-0.65,254,0.992188,0.993127,0.00093978,2,2,0
2026-08-19,3436.T,3,0.7,-2.1193442319270135,-1.49,19,0.074219,0.077101,0.00288236,0,0,0
2026-08-19,4063.T,4,0.33,-2.1193442319270135,-0.7,197,0.769531,0.771777,0.0022453,2,2,0
2026-08-19,6857.T,5,0.53,-2.1193442319270135,-1.12,66,0.257812,0.258426,0.00061328,0,0,0
2026-08-19,8035.T,6,0.58,-2.1193442319270135,-1.24,16,0.0625,0.062977,0.00047664,0,0,0
2026-08-19,IFX.DE,7,0.06,-2.1193442319270135,-0.12,275,1.074219,1.075554,0.00133496,2,2,0
2026-08-20,000660.KS,0,0.73,0.5266385767790261,0.39,458,1.789062,1.787657,0.00140582,2,2,0
2026-08-20,005930.KS,1,0.51,0.5266385767790261,0.27,384,1.5,1.499627,0.00037269,2,2,0
2026-08-20,2330.TW,2,0.31,0.5266385767790261,0.16,313,1.222656,1.222131,0.00052555,2,2,0
2026-08-20,3436.T,3,0.71,0.5266385767790261,0.37,346,1.351562,1.350099,0.00146333,2,2,0
2026-08-20,4063.T,4,0.33,0.5266385767790261,0.17,273,1.066406,1.06729,0.0008833,2,2,0
2026-08-20,6857.T,5,0.53,0.5266385767790261,0.28,279,1.089844,1.08993,8.655e-05,2,2,0
2026-08-20,8035.T,6,0.59,0.5266385767790261,0.31,266,1.039062,1.038842,0.00022085,2,2,0
2026-08-20,IFX.DE,7,0.07,0.5266385767790261,0.04,175,0.683594,0.682303,0.00129112,2,2,0
2026-08-21,000660.KS,0,0.99,-0.5052953280077462,-0.5,-194,-0.757812,-0.756093,0.00171997,1,1,0
2026-08-21,005930.KS,1,0.76,-0.5052953280077462,-0.38,-177,-0.691406,-0.690314,0.00109262,1,1,0
2026-08-21,2330.TW,2,0.38,-0.5052953280077462,-0.19,-141,-0.550781,-0.54874,0.00204082,1,1,0
2026-08-21,3436.T,3,0.8,-0.5052953280077462,-0.41,-187,-0.730469,-0.728717,0.00175221,1,1,0
2026-08-21,4063.T,4,0.35,-0.5052953280077462,-0.18,-120,-0.46875,-0.469086,0.00033571,0,0,0
2026-08-21,6857.T,5,0.65,-0.5052953280077462,-0.33,-151,-0.589844,-0.588426,0.00141738,1,1,0
2026-08-21,8035.T,6,0.64,-0.5052953280077462,-0.32,-141,-0.550781,-0.551125,0.00034423,1,1,0
2026-08-21,IFX.DE,7,0.09,-0.5052953280077462,-0.04,-62,-0.242188,-0.240965,0.00122238,0,0,0
2026-08-24,000660.KS,0,0.99,-2.7060188673558576,-2.68,-855,-3.339844,-3.336438,0.00340597,1,1,0
2026-08-24,005930.KS,1,0.76,-2.7060188673558576,-2.06,-670,-2.617188,-2.613033,0.0041546,1,1,0
2026-08-24,2330.TW,2,0.38,-2.7060188673558576,-1.03,-381,-1.488281,-1.483725,0.00455607,1,1,0
2026-08-24,3436.T,3,0.8,-2.7060188673558576,-2.17,-654,-2.554688,-2.55148,0.00320701,1,1,0
2026-08-24,4063.T,4,0.35,-2.7060188673558576,-0.96,-324,-1.265625,-1.264999,0.00062561,1,1,0
2026-08-24,6857.T,5,0.66,-2.7060188673558576,-1.77,-521,-2.035156,-2.035093,6.362e-05,1,1,0
2026-08-24,8035.T,6,0.64,-2.7060188673558576,-1.73,-490,-1.914062,-1.9122,0.00186286,1,1,0
2026-08-24,IFX.DE,7,0.09,-2.7060188673558576,-0.23,-92,-0.359375,-0.355117,0.00425834,0,0,0
2026-08-25,000660.KS,0,0.96,1.4374542095371579,1.38,779,3.042969,3.044625,0.00165594,2,2,0
2026-08-25,005930.KS,1,0.72,1.4374542095371579,1.04,675,2.636719,2.638925,0.00220601,2,2,0
2026-08-25,2330.TW,2,0.37,1.4374542095371579,0.53,531,2.074219,2.075105,0.00088611,2,2,0
2026-08-25,3436.T,3,0.78,1.4374542095371579,1.12,649,2.535156,2.534978,0.00017869,2,2,0
2026-08-25,4063.T,4,0.35,1.4374542095371579,0.5,457,1.785156,1.787389,0.00223246,2,2,0
2026-08-25,6857.T,5,0.65,1.4374542095371579,0.93,535,2.089844,2.089141,0.00070231,2,2,0
2026-08-25,8035.T,6,0.63,1.4374542095371579,0.91,494,1.929688,1.930909,0.00122132,2,2,0
2026-08-25,IFX.DE,7,0.11,1.4374542095371579,0.15,270,1.054688,1.053949,0.0007384,2,2,0
2026-08-26,000660.KS,0,0.95,0.19943984888946786,0.19,-54,-0.210938,-0.207967,0.00297027,0,0,0
2026-08-26,005930.KS,1,0.71,0.19943984888946786,0.14,-89,-0.347656,-0.346628,0.00102787,0,0,0
2026-08-26,2330.TW,2,0.37,0.19943984888946786,0.07,-130,-0.507812,-0.505234,0.00257899,1,1,0
2026-08-26,3436.T,3,0.77,0.19943984888946786,0.15,-99,-0.386719,-0.38677,5.087e-05,0,0,0
2026-08-26,4063.T,4,0.34,0.19943984888946786,0.07,-112,-0.4375,-0.433841,0.00365919,0,0,0
2026-08-26,6857.T,5,0.64,0.19943984888946786,0.13,-86,-0.335938,-0.335321,0.0006166,0,0,0
2026-08-26,8035.T,6,0.63,0.19943984888946786,0.13,-77,-0.300781,-0.298627,0.0021539,0,0,0
2026-08-26,IFX.DE,7,0.11,0.19943984888946786,0.02,-94,-0.367188,-0.363648,0.00353937,0,0,0
2026-08-27,000660.KS,0,0.94,2.332277551020408,2.2,702,2.742188,2.744082,0.00189431,2,2,0
